,Unnamed: 0,정류소명,정류소번호,권역,행정동명,엑스좌표,경도,와이좌표,위도,노선번호,totalPsocAvg,정상노선번호,평일배차간격(분),토요일배차간격(분),공휴일배차간격(분),일평균승차건수,평균배차간격,대기시간,버스정류소 이용량,scaled 버스정류소 이용량,버스정류소 번호 별 총 이용량,scaled 버스정류소 번호 별 총 이용량,ped_count_within_500m
0,0,(주)경동세라믹스,89146,서구,오류왕길동,166087.8384,126.6169776,450837.1724,37.55918552,44,116.5,44,20-31,25-35,30-42,116.5,25.5,12.75,1485.375,0.055956054942189,1485.375,0.0755376370375441,1580
1,1,(주)경인양행앞,42097,서구,석남2동,170465.3876,126.6667891,444178.4131,37.49934246,29,308.77777777777777,29,17-23,26-35,26-35,308.77777777777777,20.0,10.0,3087.777777777778,0.1163207021678724,3016.932336182336,0.1534238423141438,73532
2,2,(주)경인양행앞,42096,서구,가좌1동,170343.637,126.6654136,444145.8737,37.49904538,29,322.1481481481481,29,17-23,26-35,26-35,322.1481481481481,20.0,10.0,3221.4814814814818,0.1213574987952686,3150.820750237417,0.1602326376852959,40045
3,3,(주)대한특수금속,39050,남동구,논현고잔동,172879.0446,126.6944906,433147.5666,37.40002943,65,142.23076923076923,65,18-20,20-25,24-30,142.23076923076923,19.0,9.5,1351.1923076923076,0.050901214176012,1351.1923076923076,0.0687138763654856,35791
4,4,(주)두남,39135,남동구,남촌도림동,173648.1398,126.7031061,435119.4794,37.41781861,인천e음45,59.69230769230769,인천e음45,21-32,27-43,27-43,59.69230769230769,26.5,13.25,790.9230769230769,0.0297951259091831,790.9230769230769,0.0402218027832924,28829
5,5,(주)세모입구(린나이코리아),37585,미추홀구,주안5동,172037.8604,126.6846847,441205.1449,37.47260274,510,300.96153846153845,510,9-12,12-15,13-17,300.96153846153845,10.5,5.25,1580.048076923077,0.0595225158654264,1580.048076923077,0.0803521657066296,85077
6,6,(주)세모입구(린나이코리아),40893,부평구,십정1동,172057.7617,126.6849083,441242.8151,37.47294275,510,339.7692307692308,510,9-12,12-15,13-17,339.7692307692308,10.5,5.25,1783.7884615384617,0.067197687559767,1783.7884615384617,0.0907132309076506,89697
7,7,(주)스킨이데아,89388,서구,원찬동,166105.6856,126.6174734,444479.2189,37.50190268,29,112.66666666666669,29,17-23,26-35,26-35,112.66666666666669,20.0,10.0,1126.6666666666667,0.042443034184319,1126.6666666666667,0.0572957924624868,33
8,8,(주)스킨이데아,89389,서구,원창동,166107.5171,126.617495,444459.0933,37.50172142,29,187.33333333333331,29,17-23,26-35,26-35,187.33333333333331,20.0,10.0,1873.3333333333333,0.0705709621644595,1005.5555555555557,0.0511367772964009,33
9,9,(주)씨피엔텍,39134,남동구,남촌도림동,174004.1223,126.7071348,434909.4757,37.41593655,인천e음45,55.80769230769231,인천e음45,21-32,27-43,27-43,55.80769230769231,26.5,13.25,739.4519230769231,0.0278561389782375,2171.1826923076924,0.1104138753875192,45605
10,10,(주)씨피엔텍,39133,남동구,남촌도림동,174029.316,126.7074206,434874.596,37.415623,인천e음45,35.57692307692308,인천e음45,21-32,27-43,27-43,35.57692307692308,26.5,13.25,471.3942307692308,0.0177580486249963,1556.0721153846157,0.0791328860766921,75716
11,11,(주)창원,39029,남동구,논현고잔동,173299.1435,126.6992605,432446.33,37.3937235,인천e음55,50.03846153846154,인천e음55,31-47,31-47,31-47,50.03846153846154,39.0,19.5,975.75,0.0367578023124402,975.75,0.0496210380135546,12833
12,12,(주)창원,39030,남동구,논현고잔동,173277.9157,126.699019,432494.3646,37.39415568,6,703.5384615384615,6,10-13,13-16,15-19,703.5384615384615,11.5,5.75,4045.346153846154,0.1523935784867715,2564.548076923077,0.1304181784397524,12605
13,13,(주)하나금속,39124,남동구,남촌도림동,173368.2535,126.6999463,435067.2735,37.41734021,인천e음45,57.96153846153846,인천e음45,21-32,27-43,27-43,57.96153846153846,26.5,13.25,767.9903846153846,0.02893122084094,767.9903846153846,0.0390555778314572,50121
14,14,17사단.다임메가타운,40895,부평구,일신동,177506.9903,126.7464808,442195.5102,37.48167546,47,184.57692307692307,47,16-22,22-28,22-28,184.57692307692307,19.0,9.5,1753.480769230769,0.0660559564171665,1413.2019230769229,0.0718673290759195,65496
15,15,17사단입구,40832,부평구,일신동,177516.4788,126.746603,441707.0779,37.47727495,12,85.92307692307692,12,7-10,9-13,11-15,85.92307692307692,8.5,4.25,365.1730769230769,0.0137565562606856,365.1730769230769,0.0185706042854488,17064
16,16,2001아울렛,40162,부평구,산곡3동,174496.6231,126.7124092,443245.4605,37.49105704,302,119.48148148148148,302,9-12,12-16,13-18,119.48148148148148,10.5,5.25,627.2777777777778,0.0236303894958159,3012.988081363081,0.1532232601790463,136215
17,17,2001아울렛,40154,부평구,산곡3동,174351.7495,126.7107737,443170.7223,37.49037963,570,862.5,570,8-11,11-14,11-14,862.5,9.5,4.75,4096.875,0.1543347387638007,3922.004807692308,0.1994506273654562,184871
18,18,2001아울렛,40159,부평구,부평3동,174465.2197,126.7120553,443211.5236,37.4907504,302,185.0,302,9-12,12-16,13-18,185.0,10.5,5.25,971.25,0.036588281317917,3214.2112332112333,0.1634563133863888,137818
19,19,2001아울렛부평점,40158,부평구,산곡3동,174395.6373,126.7112677,443233.7273,37.49094852,564,387.6538461538461,564,9-12,11-15,14-19,387.6538461538461,10.5,5.25,2035.182692307692,0.0766680431191862,2035.182692307692,0.1034976968890888,157017
20,20,2차풍림아이원,42584,서구,검단1동,169967.4833,126.6606402,456817.6036,37.61320221,76,253.03846153846155,76,20-30,25-35,33-40,253.03846153846155,25.0,12.5,3162.980769230769,0.1191536990350343,1573.5048076923078,0.0800194126333701,13039
21,21,3단지,40736,부평구,산곡3동,173853.6084,126.7051474,442992.3973,37.48875895,569,307.2692307692308,569,10-13,15-18,15-18,307.2692307692308,11.5,5.75,1766.798076923077,0.0665576371381378,1766.798076923077,0.0898491975785551,181947
22,22,3단지관리사무소,40107,부평구,산곡3동,173846.4972,126.705067,442990.6156,37.4887427,569,376.88461538461536,569,10-13,15-18,15-18,376.88461538461536,11.5,5.75,2167.086538461538,0.0816370367150598,2167.086538461538,0.1102055685407762,181661
23,23,41번구종점,42174,서구,신현원창동,170506.952,126.6671947,445782.494,37.51379628,7,621.4615384615385,7,17-23,21-29,24-33,621.4615384615385,20.0,10.0,6214.615384615385,0.2341128401286621,4826.291666666667,0.2454374606776003,73969
24,24,510번차고지,36145,동구,송현3동,169053.9093,126.6508695,443177.4657,37.49027779,506,43.69230769230769,506,13-17,16-21,18-24,43.69230769230769,15.0,7.5,327.6923076923077,0.0123446057550204,1039.43720322887,0.0528598032017654,13184
25,25,6공단사거리,37577,미추홀구,도화23동,170571.1644,126.6680982,441359.7219,37.47394984,510,164.73076923076923,510,9-12,12-15,13-17,164.73076923076923,10.5,5.25,864.8365384615385,0.0325795444666608,1469.115918803419,0.0747107935980145,94604
26,26,6공단입구,37443,미추홀구,주안5동,171609.1612,126.6798502,440900.5708,37.46984547,566,122.1153846153846,566,20-29,27-38,27-38,122.1153846153846,24.5,12.25,1495.9134615384614,0.0563530528267988,2622.2345085470088,0.1333517788665804,165523
27,27,6공단입구,37442,미추홀구,주안5동,171620.8586,126.6799835,440873.6733,37.46960348,566,200.30769230769232,566,20-29,27-38,27-38,200.30769230769232,24.5,12.25,2453.769230769231,0.0924367556289663,2079.690170940171,0.1057610914974513,164704
28,28,88JC(미정차),25201,코드정보 없음,방화3동,184001.8826,126.8196637,453567.3466,37.58427015,9500,394.3076923076923,9500,25-35,25-35,30-40,394.3076923076923,30.0,15.0,5914.615384615385,0.2228114404937842,5914.615384615385,0.3007833510997232,0
29,29,88JC(미정차),25204,코드정보 없음,방화3동,184118.2895,126.8209823,453534.0456,37.58397214,9500,458.46153846153845,9500,25-35,25-35,30-40,458.46153846153845,30.0,15.0,6876.923076923077,0.2590628531687386,7211.538461538462,0.3667374062374698,0
30,30,8부두,35182,중구,북성동,165847.4217,126.6146797,441746.3363,37.47727043,10,467.61538461538464,10,13-16,16-20,20-23,467.61538461538464,14.5,7.25,3390.2115384615386,0.1277137848097597,3451.6442307692305,0.1755307912726277,28874
31,31,8부두,35181,중구,북성동,165858.5206,126.6148029,441794.9159,37.47770853,10,365.6538461538461,10,13-16,16-20,20-23,365.6538461538461,14.5,7.25,2650.9903846153843,0.0998663392158567,3298.1762820512818,0.1677262932790887,28784
32,32,CJ인천2공장,35592,중구,신흥동,166941.3444,126.6272414,437412.0473,37.43825893,13,446.5384615384616,13,18-22,23-27,25-30,446.5384615384616,20.0,10.0,4465.384615384615,0.1682169868729896,2539.1826923076924,0.1291282407362131,1949
33,33,CJ인천2공장,35591,중구,신흥동,166915.1104,126.6269444,437422.8496,37.43835532,13,1527.5384615384614,13,18-22,23-27,25-30,1527.5384615384614,20.0,10.0,15275.384615384612,0.5754440870497551,19201.39423076923,0.9764725729318456,2112
34,34,E편한세상,42726,서구,불로대곡동,172873.8652,126.6935373,457356.2424,37.61814566,인천e음88,28.357142857142858,인천e음88,25-35,34-40,34-40,28.357142857142858,30.0,15.0,425.3571428571429,0.0160237701965946,1733.2960164835165,0.0881454752986639,27667
35,35,E편한세상,42453,서구,원당동,173514.6933,126.7008836,454932.202,37.59632451,76,175.19230769230768,76,20-30,25-35,33-40,175.19230769230768,25.0,12.5,2189.903846153846,0.0824965950911356,2667.783653846154,0.1356681466558438,36181
36,36,E편한세상,42649,서구,불로대곡동,172873.0972,126.693527,457400.7608,37.61854674,인천e음88,36.03846153846154,인천e음88,25-35,34-40,34-40,36.03846153846154,30.0,15.0,540.5769230769231,0.0203642528036164,1911.5769230769229,0.0972118177461785,27704
37,37,GM물류센터,40568,부평구,청천2동,174314.6817,126.7102485,446200.1413,37.51767326,585,476.0,585,10-14,13-18,13-18,476.0,12.0,6.0,2856.0,0.1075893245240372,2856.0,0.1452397484670376,49637
38,38,GS25편의점,36142,동구,송현1동2동,167741.9826,126.6360823,442107.1988,37.48058992,인천e음22,29.884615384615383,인천e음22,27-33,27-33,27-33,29.884615384615383,30.0,15.0,448.2692307692308,0.0168868990698078,2003.5096153846157,0.1018869862008938,89549
39,39,GS내리주유소,44130,옹진군,영흥면,154230.6588,126.484853,417477.6805,37.25811123,선재리행,0.9047619047619048,선재리행,60-180,60-180,60-180,0.9047619047619048,120.0,60.0,54.285714285714285,0.0020450151720255,54.285714285714285,0.0027606594846675,21
40,40,GS내리주유소,44147,옹진군,영흥면,154257.0879,126.485152,417460.0002,37.25795323,선재리행,0.1428571428571428,선재리행,60-180,60-180,60-180,0.1428571428571428,120.0,60.0,8.571428571428571,0.000322897132425,8.571428571428571,0.0004358936028422,21
41,41,GS칼텍스,35557,중구,북성동,164707.0914,126.6017822,441868.7375,37.47833033,10,283.03846153846155,10,13-16,16-20,20-23,283.03846153846155,14.5,7.25,2052.028846153846,0.0773026601756063,2062.783653846154,0.1049013231885617,7564
42,42,GS칼텍스,35168,중구,북성동,164830.1909,126.6031719,441910.3986,37.47871039,45,764.0769230769231,45,7-9,9-10,9-10,764.0769230769231,8.0,4.0,3056.3076923076924,0.1151351821264018,3056.3076923076924,0.1554262466626896,4235
43,43,GS칼텍스,89224,서구,신현원창동,168127.587,126.6403155,445018.4937,37.50683356,29,184.14814814814812,29,17-23,26-35,26-35,184.14814814814812,20.0,10.0,1841.4814814814813,0.0693710604748305,1841.4814814814813,0.0936471663785287,1803
